interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"68-03-09-51","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-68-63-82","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"80-91-19-12","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-98-38-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"50-33-61-65","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"88-90-25-85","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-83-20-68","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-59-67-21","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"35-03-03-59","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,65,,,,,,,,,,
"10-50-64-24","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,240,,,,,,,,,,
"13-56-95-25","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,65,,,,,,,,,,
"36-88-00-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"63-25-21-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"08-07-30-74","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No",,130,"No","No","Yes","No","No","No","No","No","No",
"18-39-69-08","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-46-11-48","Yes","No","100-500 m","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,260,,,,,,,,,,
"12-85-99-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"55-14-49-61","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-26-98-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"32-96-01-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"41-92-38-71","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"43-40-50-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"33-52-73-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-65-44-15","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
