interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"36-99-07-56","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Disagree","Disagree","Disagree","Indifferent (neither nor)","Strongly agree","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","strongly trust","strongly trust","strongly trust","indifferent","strongly trust","Slightly worried","Extremely worried","Extremely worried","Worried","Worried","Slightly worried","Very worried","Worried","Not at all worried","Not at all worried"
"75-89-92-79","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","distrust","trust","trust","trust","distrust","Worried","Worried","Very worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"44-34-32-32","Indifferent (neither nor)","Strongly agree","Agree","Indifferent (neither nor)","Strongly agree","Strongly agree","Agree","Agree","Strongly disagree","Indifferent (neither nor)","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","strongly trust","strongly trust","indifferent","indifferent","strongly trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"53-52-93-15","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","strongly trust","indifferent","trust","indifferent","indifferent","Extremely worried","Extremely worried","Extremely worried","Worried","Very worried","Extremely worried","Extremely worried","Not at all worried","Worried","Worried"
"58-35-74-86","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","indifferent","indifferent","Extremely worried","Very worried","Very worried","Worried","Worried","Worried","Very worried","Worried","Worried","Very worried"
"23-82-30-50","Strongly agree","Strongly agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Strongly agree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","indifferent","indifferent","indifferent","Extremely worried","Very worried","Very worried","Very worried","Extremely worried","Worried","Slightly worried","Very worried","Slightly worried","Slightly worried"
"76-76-95-07","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Very worried","Extremely worried","Very worried","Slightly worried","Worried","Very worried","Worried","Worried","Worried","Worried"
"69-18-54-45","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Very worried","Very worried","Worried","Worried","Worried","Worried","Very worried","Very worried","Worried"
"99-14-10-16","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","distrust","distrust","indifferent","distrust","distrust","Very worried","Very worried","Very worried","Extremely worried","Very worried","Slightly worried","Very worried","Slightly worried","Worried","Very worried"
"55-02-31-58","Strongly agree","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","strongly trust","trust","indifferent","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Very worried","Extremely worried","Extremely worried","Very worried"
"55-65-32-92","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","strongly trust","strongly trust","strongly trust","strongly trust","strongly trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Not at all worried","Not at all worried","Not at all worried"
"66-00-67-40","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Disagree","Disagree","Disagree","Disagree","Disagree","trust","trust","trust","trust","trust","Extremely worried","Extremely worried","Very worried","Slightly worried","Extremely worried","Very worried","Worried","Very worried","Very worried","Worried"
"41-51-06-54","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","trust","indifferent","distrust","indifferent","distrust","Worried","Extremely worried","Very worried","Worried","Worried","Worried","Very worried","Worried","Very worried","Worried"
"07-18-54-62","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Strongly disagree","Strongly disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","strongly trust","strongly trust","strongly trust","trust","strongly distrust","Extremely worried","Very worried","Extremely worried","Extremely worried","Extremely worried","Slightly worried","Extremely worried","Not at all worried","Not at all worried","Not at all worried"
