interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"41-08-83-81",6,"Yes","No","Yes",,,"",2020,2023,,,,
"37-72-45-16",1,"No",,"Yes","Yes temporarily migrate","Town outside region","",2016,2021,,,,
"37-72-45-16",4,"Yes","Yes","Yes",,,"",2022,2022,6,12,1000,"Daughter"
"86-82-46-77",1,"No",,"No","Don’t know",,"",,,,,,
"86-82-46-77",2,"No",,"No","No intention to migrate",,"",,,,,,
"86-82-46-77",3,"No",,"No","No intention to migrate",,"",,,,,,
"86-82-46-77",4,"No",,"No","No intention to migrate",,"",,,,,,
"86-82-46-77",5,"No",,"No","No intention to migrate",,"",,,,,,
"35-59-75-62",1,"No",,"No","No intention to migrate",,"",,,,,,
"35-59-75-62",2,"No",,"No","No intention to migrate",,"",,,,,,
"35-59-75-62",3,"No",,"No","No intention to migrate",,"",,,,,,
"35-59-75-62",4,"No",,"No","No intention to migrate",,"",,,,,,
"35-59-75-62",5,"No",,"No","No intention to migrate",,"",,,,,,
"35-59-75-62",8,"No",,"No","No intention to migrate",,"",,,,,,
"31-89-28-30",1,"No",,"No","No intention to migrate",,"",,,,,,
"31-89-28-30",2,"No",,"No","No intention to migrate",,"",,,,,,
"31-89-28-30",3,"No",,"No","No intention to migrate",,"",,,,,,
"31-89-28-30",4,"No",,"No","No intention to migrate",,"",,,,,,
"31-89-28-30",6,"No",,"No","No intention to migrate",,"",,,,,,
"61-82-08-02",1,"No",,"No","Yes permanently migrate","Town in region","",,,,,,
"61-82-08-02",2,"No",,"No","Yes permanently migrate","Town in region","",,,,,,
"67-96-75-77",1,"No",,"No","No intention to migrate",,"",,,,,,
"67-96-75-77",2,"No",,"No","No intention to migrate",,"",,,,,,
"67-96-75-77",3,"No",,"No","No intention to migrate",,"",,,,,,
"67-96-75-77",4,"No",,"No","No intention to migrate",,"",,,,,,
"67-96-75-77",5,"No",,"No","No intention to migrate",,"",,,,,,
"67-96-75-77",6,"No",,"No","No intention to migrate",,"",,,,,,
"67-96-75-77",7,"No",,"No","No intention to migrate",,"",,,,,,
"67-96-75-77",10,"No",,"No","No intention to migrate",,"",,,,,,
"19-03-14-53",1,"No",,"No","No intention to migrate",,"",,,,,,
"19-03-14-53",2,"No",,"No","No intention to migrate",,"",,,,,,
"12-01-31-29",1,"No",,"No","No intention to migrate",,"",,,,,,
"12-01-31-29",2,"No",,"No","No intention to migrate",,"",,,,,,
"12-01-31-29",3,"No",,"No","No intention to migrate",,"",,,,,,
"12-01-31-29",4,"No",,"No","No intention to migrate",,"",,,,,,
"12-01-31-29",5,"No",,"No","No intention to migrate",,"",,,,,,
"16-72-17-16",1,"No",,"No","No intention to migrate",,"",,,,,,
"16-72-17-16",2,"No",,"No","No intention to migrate",,"",,,,,,
"16-72-17-16",4,"No",,"No","No intention to migrate",,"",,,,,,
"38-21-18-12",1,"No",,"No","No intention to migrate",,"",,,,,,
"38-21-18-12",2,"No",,"No","No intention to migrate",,"",,,,,,
"75-80-02-90",1,"No",,"No","Don’t know",,"",,,,,,
"75-80-02-90",2,"No",,"No","No intention to migrate",,"",,,,,,
"75-80-02-90",3,"No",,"No","No intention to migrate",,"",,,,,,
"75-80-02-90",4,"No",,"No","No intention to migrate",,"",,,,,,
"75-80-02-90",5,"No",,"No","No intention to migrate",,"",,,,,,
"75-80-02-90",6,"No",,"No","No intention to migrate",,"",,,,,,
"75-80-02-90",7,"No",,"No","No intention to migrate",,"",,,,,,
"75-80-02-90",8,"No",,"No","No intention to migrate",,"",,,,,,
"75-80-02-90",12,"No",,"No","No intention to migrate",,"",,,,,,
"43-41-21-85",1,"No",,"No","No intention to migrate",,"",,,,,,
"43-41-21-85",4,"No",,"No","No intention to migrate",,"",,,,,,
"66-22-88-29",1,"No",,"No","No intention to migrate",,"",,,,,,
"66-22-88-29",2,"No",,"No","Don’t know",,"",,,,,,
"66-22-88-29",3,"No",,"No","No intention to migrate",,"",,,,,,
"66-22-88-29",4,"No",,"No","No intention to migrate",,"",,,,,,
"66-22-88-29",5,"No",,"No","No intention to migrate",,"",,,,,,
"66-22-88-29",6,"No",,"No","No intention to migrate",,"",,,,,,
"66-22-88-29",10,"No",,"No","No intention to migrate",,"",,,,,,
"42-66-53-78",1,"Yes","Yes","No",,,"",2020,2020,12,12,0,
"42-66-53-78",2,"No",,"No","No intention to migrate",,"",,,,,,
"42-66-53-78",4,"No",,"No","No intention to migrate",,"",,,,,,
"19-23-31-06",1,"No",,"No","No intention to migrate",,"",,,,,,
"19-23-31-06",2,"No",,"No","No intention to migrate",,"",,,,,,
"62-33-60-14",1,"No",,"No","Yes temporarily migrate","Village in region","",,,,,,
"62-33-60-14",2,"No",,"No","No intention to migrate",,"",,,,,,
"62-33-60-14",3,"No",,"No","Don’t know",,"",,,,,,
"62-33-60-14",6,"No",,"No","No intention to migrate",,"",,,,,,
"62-33-60-14",9,"No",,"No","No intention to migrate",,"",,,,,,
"62-33-60-14",11,"No",,"No","No intention to migrate",,"",,,,,,
"62-33-60-14",12,"No",,"No","No intention to migrate",,"",,,,,,
"89-36-04-43",1,"Yes","Yes","Yes",,,"",2021,2022,9,12,1000,"Spouse"
"89-36-04-43",2,"No",,"No","No intention to migrate",,"",,,,,,
"87-86-68-37",1,"No",,"Yes","No intention to migrate",,"",1990,2020,,,,
"87-86-68-37",2,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"87-86-68-37",3,"No",,"No","No intention to migrate",,"",,,,,,
"12-94-76-31",1,"No",,"Yes","Yes temporarily migrate","Town in region","",2022,2021,,,,
"12-94-76-31",2,"Yes","No","No",,,"",2022,2022,,,,
"25-74-03-84",1,"No",,"No","No intention to migrate",,"",,,,,,
"25-74-03-84",2,"No",,"No","No intention to migrate",,"",,,,,,
"25-74-03-84",3,"No",,"No","No intention to migrate",,"",,,,,,
"98-23-98-25",1,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"98-23-98-25",2,"No",,"No","No intention to migrate",,"",,,,,,
"98-23-98-25",3,"No",,"No","No intention to migrate",,"",,,,,,
"98-23-98-25",4,"No",,"No","No intention to migrate",,"",,,,,,
"98-23-98-25",5,"No",,"No","No intention to migrate",,"",,,,,,
"98-23-98-25",6,"No",,"No","No intention to migrate",,"",,,,,,
"98-23-98-25",9,"No",,"No","No intention to migrate",,"",,,,,,
"01-01-07-49",1,"No",,"No","No intention to migrate",,"",,,,,,
