interview__key,r_members__id,decision_code,decision_label,decision_maker_1,decision_maker_2,decision_maker_3,decision_maker_4,decision_maker_5
"46-91-82-56",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,
"46-91-82-56",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,
"46-91-82-56",1,"weai_16","Expenditure on Children's Education",1,,,,
"46-91-82-56",1,"weai_17","How to Allocate Remittances",1,,,,
"46-91-82-56",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,
"46-91-82-56",1,"weai_19","Whether They Attend a Training or Seminar",1,,,,
"46-91-82-56",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,
"46-91-82-56",1,"weai_21","Use of Land",1,,,,
"20-85-85-47",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",2,,,,
"20-85-85-47",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",2,,,,
"20-85-85-47",2,"weai_12","How Much Money to Spend on Food?",2,,,,
"20-85-85-47",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",2,,,,
"20-85-85-47",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",2,,,,
"20-85-85-47",2,"weai_15","Purchase and Sale of Land and Houses?",2,,,,
"20-85-85-47",2,"weai_16","Expenditure on Children's Education",2,,,,
"20-85-85-47",2,"weai_17","How to Allocate Remittances",2,,,,
"20-85-85-47",2,"weai_18","Whether to Borrow Money and How Much to Borrow?",2,,,,
"20-85-85-47",2,"weai_19","Whether They Attend a Training or Seminar",2,,,,
"20-85-85-47",2,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",2,,,,
"20-85-85-47",2,"weai_21","Use of Land",2,,,,
"34-53-75-33",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,,
"34-53-75-33",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,,
"34-53-75-33",2,"weai_12","How Much Money to Spend on Food?",1,2,,,
"34-53-75-33",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,
"34-53-75-33",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",2,,,,
"34-53-75-33",2,"weai_15","Purchase and Sale of Land and Houses?",1,,,,
"34-53-75-33",2,"weai_16","Expenditure on Children's Education",1,2,,,
"34-53-75-33",2,"weai_17","How to Allocate Remittances",1,,,,
"34-53-75-33",2,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,
"34-53-75-33",2,"weai_19","Whether They Attend a Training or Seminar",1,,,,
"34-53-75-33",2,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,
"34-53-75-33",2,"weai_21","Use of Land",1,,,,
"56-13-50-35",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,,
"56-13-50-35",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,,
"56-13-50-35",1,"weai_12","How Much Money to Spend on Food?",1,2,,,
"56-13-50-35",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,
"56-13-50-35",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,
"56-13-50-35",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,
"56-13-50-35",1,"weai_16","Expenditure on Children's Education",2,,,,
"56-13-50-35",1,"weai_17","How to Allocate Remittances",1,,,,
"56-13-50-35",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,
"56-13-50-35",1,"weai_19","Whether They Attend a Training or Seminar",1,,,,
"56-13-50-35",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,
"56-13-50-35",1,"weai_21","Use of Land",1,,,,
"56-13-50-35",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",2,,,,
"56-13-50-35",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",2,,,,
"56-13-50-35",2,"weai_12","How Much Money to Spend on Food?",1,,,,
"56-13-50-35",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",2,,,,
"56-13-50-35",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",2,,,,
