interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"35-59-75-62","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"31-89-28-30","Murram/ gravel road","Well passable","Yes","Yes","Yes","Yes","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"61-82-08-02","Dirt road/ bush road","Almost not passable","Yes","No","No","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"67-96-75-77","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","Yes","No","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"19-03-14-53","Tarmac road","Well passable","Yes","No","No","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"12-01-31-29","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","Yes","No","No","No","No",,3,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"16-72-17-16","Murram/ gravel road","Well passable","Yes","Yes","No","No","Yes","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"38-21-18-12","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","No","No","No","No",,1,"Yes","No",,"No",,,,,,"No","No","No","No","No","No","Yes","No",,,"Yes","Yes","No","No","No","Yes",
"75-80-02-90","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","Yes","No","No","No",,1,"Yes","No",,"No",,,,,,"Yes","No","Yes","No","No","No","No","No",,"Yes","Yes","No","No","No","No","No",
"43-41-21-85","Murram/ gravel road","Well passable","Yes","Yes","No","No","No","No","No","No",,5,"Yes","No",,"No",,,,,,"No","No","No","No","No","No","Yes","No",,,"No","No","No","No","No","Yes",
